Zone,mean_sr_focal,sd_sr_focal,max_sr_focal,min_sr_focal,median_sr_focal
Ecotone,4.0092592592592595,1.6827623616545846,8,0,4
Mid,4.444444444444445,1.642503977055077,8,1,4
