Block,mean_sr_all,sd_sr_all,max_sr_all,min_sr_all,mean_sr_focal,sd_sr_focal,max_sr_focal,min_sr_focal
2,5.166666666666667,1.5946338585572373,8,2,4.722222222222222,1.560423223013755,8,2
4,5,1.7071279138616748,7,2,4.611111111111111,1.5170983163879992,7,2
5,3.8333333333333335,2.007130147392398,8,1,3.4444444444444446,1.7475606581656196,7,1
6,4.055555555555555,1.4529663145135578,8,2,3.6944444444444446,1.4505062061115954,7,1
7,4.555555555555555,1.7311341360002688,8,1,4.055555555555555,1.5481684006675103,7,0
8,5.138888888888889,1.7752710501743956,9,2,4.777777777777778,1.7256238807393047,8,2
