Habitat_Type,mean_sr_focal,sd_sr_focal,max_sr_focal,min_sr_focal,median_sr_focal
High Ecotone,4.166666666666667,1.7968225924034427,8,0,4
High Relief,4.75,1.6102351203650798,7,2,5
Low Ecotone,3.9166666666666665,1.5923926292577109,7,2,4
Low Relief,3.861111111111111,1.6928889555647222,8,1,4
Medium Ecotone,3.8333333333333335,1.5583874449479591,7,1,4
Medium Relief,4.777777777777778,1.5139562384902319,7,1,5
