cluster,mean_sr_all,sd_sr_all,max_sr_all,min_sr_all,mean_sr_focal,sd_sr_focal,max_sr_focal,min_sr_focal
Group 1,5,1.2649110640673518,6,3,4.666666666666667,1.3662601021279464,6,3
Group 2,5.208333333333333,1.7356047774945689,9,2,4.708333333333333,1.5872511449619744,7,2
Group 3,5,1.7888543819998317,8,2,4.611111111111111,1.6609425513033733,8,2
Group 4,4.333333333333333,1.671063383055436,8,1,3.8518518518518516,1.5222551221406018,7,0
Group 5,3.75,1.6438149712101018,7,1,3.5416666666666665,1.6753320830965073,7,1
