Block,mean_sr_all,sd_sr_all,max_sr_all,min_sr_all,mean_sr_focal,sd_sr_focal,max_sr_focal,min_sr_focal
2,5.277777777777778,1.6144191544791602,8,2,4.638888888888889,1.6062872502011372,8,2
4,5,1.7071279138616748,7,2,4.694444444444445,1.5272654263551189,7,2
5,3.888888888888889,2.025237591392008,8,1,3.4444444444444446,1.7311341360002688,6,1
6,4.111111111111111,1.5264857451541205,8,2,3.75,1.5189281935440058,7,1
7,4.555555555555555,1.7311341360002688,8,1,4.055555555555555,1.5481684006675103,7,0
8,5.194444444444445,1.8018949461123968,9,2,4.777777777777778,1.7256238807393047,8,2
