cluster,mean_sr_all,sd_sr_all,max_sr_all,min_sr_all,mean_sr_focal,sd_sr_focal,max_sr_focal,min_sr_focal
Group 1,4.5,1.378404875209022,7,3,4.166666666666667,1.1690451944500122,6,3
Group 2,5.166666666666667,0.983192080250175,6,4,4.666666666666667,1.3662601021279464,6,3
Group 3,4.0625,1.7673907923167296,7,1,3.6041666666666665,1.6852246940700657,7,0
Group 4,4.020833333333333,1.8506995035613614,8,1,3.6458333333333335,1.7071761346181973,8,1
Group 5,4.981481481481482,1.6309592123902985,8,2,4.574074074074074,1.5369886245985533,8,2
Group 6,5.444444444444445,1.7229490587708902,9,2,4.907407407407407,1.520532658885217,7,2
